Problem,Average Fitness HC,Average Fitness HCRR,Average Fitness SA,Average Fitness GRASP
file:f1-size:10-opt:295.0,294.0,294.0,294.0,294.0
file:f2-size:20-opt:1024.0,1024.0,1024.0,1024.0,1024.0
file:f3-size:4-opt:35.0,35.0,35.0,35.0,35.0
file:f4-size:4-opt:23.0,20.64516129032258,22.0,22.0,22.0
file:f5-size:15-opt:481.069368,446.28318977419354,481.06936800000017,481.069368,481.06936800000017
file:f6-size:10-opt:52.0,52.0,52.0,52.0,52.0
file:f7-size:7-opt:107.0,87.7741935483871,102.0,102.0,102.0
file:f8-size:23-opt:9767.0,9759.225806451614,9766.064516129032,9753.870967741936,9767.0
file:f9-size:5-opt:130.0,130.0,130.0,130.0,130.0
file:f10-size:20-opt:1025.0,1025.0,1025.0,1025.0,1025.0
file:Knapsack1-size:30-opt:99798.0,99519.35483870968,99798.0,99521.6129032258,99798.0
file:Knapsack2-size:50-opt:142156.0,139078.96774193548,141383.5483870968,139080.90322580645,141652.2258064516
file:Knapsack3-size:200-opt:100236.0,100102.64516129032,100218.3870967742,100096.54838709677,100236.0
file:Knapsack4-size:400-opt:3967180.0,3951886.580645161,3960083.129032258,3951796.35483871,3963836.290322581
file:Knapsack5-size:1000-opt:109899.0,107004.58064516129,106737.03225806452,105607.70967741935,108158.2258064516
file:Knapsack6-size:10000-opt:1099893.0,1074449.7741935484,1066574.6129032257,1072072.7419354839,1081357.1935483871
