Problem                               ,Average Fitness        ,Standard Deviation   ,Best Fitness          ,Worst Fitness          ,Execution Time
file:f1-size:10-opt:295.0             ,    294.0              ,   0.0               ,    294.0             ,    294.0              ,0.19147991365002048
file:f2-size:20-opt:1024.0            ,   1024.0              ,   0.0               ,   1024.0             ,   1024.0              ,0.19684846170486942
file:f3-size:4-opt:35.0               ,     35.0              ,   0.0               ,     35.0             ,     35.0              ,0.13588506944717899
file:f4-size:4-opt:23.0               ,     20.64516129032258 ,   1.492959543923372 ,     19.0             ,     22.0              ,0.19543760822665307
file:f5-size:15-opt:481.069368        ,    446.28318977419354 ,  17.0416773509481   ,    437.9345069999999 ,    481.06936800000005 ,0.18330741697742092
file:f6-size:10-opt:52.0              ,     52.0              ,   0.0               ,     52.0             ,     52.0              ,0.16639161109924316
file:f7-size:7-opt:107.0              ,     87.7741935483871  ,   7.917761484806231 ,     81.0             ,    102.0              ,0.20283745950268162
file:f8-size:23-opt:9767.0            ,   9759.225806451614   ,   4.323302780315179 ,   9754.0             ,   9767.0              ,0.2506644033616589
file:f9-size:5-opt:130.0              ,    130.0              ,   0.0               ,    130.0             ,    130.0              ,0.18447396063035534
file:f10-size:20-opt:1025.0           ,   1025.0              ,   0.0               ,   1025.0             ,   1025.0              ,0.19859163991866574
file:Knapsack1-size:30-opt:99798.0    ,  99519.35483870968    , 346.08711828718623  ,  99084.0             ,  99798.0              ,0.23475691580003308
file:Knapsack2-size:50-opt:142156.0   , 139078.96774193548    ,1113.9156302061128   , 136883.0             , 141020.0              ,0.5038242647724767
file:Knapsack3-size:200-opt:100236.0  , 100102.64516129032    ,  63.254503033430304 , 100002.0             , 100236.0              ,0.28589582443237305
file:Knapsack4-size:400-opt:3967180.0 ,3951886.580645161      ,4145.848734260251    ,3943233.0             ,3959174.0              ,0.9101830220991566
file:Knapsack5-size:1000-opt:109899.0 , 107004.58064516129    , 475.3862113565883   , 105967.0             , 108268.0              ,0.3243912035419095
