Problem,Execution Time HC,Execution Time HCRR,Execution Time SA,Execution Time GRASP
file:f1-size:10-opt:295.0,0.6917303377582181,0.7020612762820336,0.9659729080815469,0.9837693475907848
file:f2-size:20-opt:1024.0,0.0007322219110304309,0.0007377978294126449,0.004166910725255166,0.0005316503586307649
file:f3-size:4-opt:35.0,6.031990051269531e-05,5.79895511750252e-05,9.277559095813382e-05,4.109259574644027e-05
file:f4-size:4-opt:23.0,0.717920272581039,0.7227466798597767,0.9010392081352973,0.9619365892102641
file:f5-size:15-opt:481.069368,0.5164227947112052,0.11386107629345309,0.5998162838720507,0.015992080011675434
file:f6-size:10-opt:52.0,0.0001033890631891066,0.00010098180463237147,0.00015647949710969003,9.42522479641822e-05
file:f7-size:7-opt:107.0,0.7305746693764964,0.7194589876359508,0.9066812223003756,1.060476618428384
file:f8-size:23-opt:9767.0,0.7966013185439571,0.20805424259554955,0.8253555297851562,0.20511911761376164
file:f9-size:5-opt:130.0,8.23697736186366e-05,7.974716924851941e-05,0.00010383513665968372,5.4982400709582916e-05
file:f10-size:20-opt:1025.0,0.0008409484740226499,0.0008462321373724169,0.003648996353149414,0.0005357496200069304
file:Knapsack1-size:30-opt:99798.0,0.47345589822338474,0.025639703196863973,0.39069661786479337,0.05045379361798687
file:Knapsack2-size:50-opt:142156.0,1.7314763761335803,1.7083494047964773,0.8477683221140215,2.367130071886124
file:Knapsack3-size:200-opt:100236.0,0.9007842233104091,0.3459561717125677,0.9605730579745385,0.12380443849871235
file:Knapsack4-size:400-opt:3967180.0,3.049622735669536,3.0757194872825377,1.4078499732478973,24.412452605462843
file:Knapsack5-size:1000-opt:109899.0,1.0010871887207031,1.1228387201986005,0.9989608718502906,3.0773171763266287
file:Knapsack6-size:10000-opt:1099893.0,2.320424618259553,2.7682583562789427,4.109773697391633,24.56032725303404
